Threat Group,Technique Used,Mitigation,Mitigation Description
APT29,Disable Windows Event Logging,Restrict Registry Permissions,Restrict the ability to modify certain hives or keys in the Windows Registry.
APT29,Disable Windows Event Logging,Restrict File and Directory Permissions,Restrict access by setting directory and file permissions that are not specific to users or privileged accounts.
APT29,Disable Windows Event Logging,User Account Management,"Manage the creation, modification, use, and permissions associated to user accounts."
APT29,Disable Windows Event Logging,Audit,"Perform audits or scans of systems, permissions, insecure software, insecure configurations, etc. to identify potential weaknesses."
APT29,Malicious Link,Restrict Web-Based Content,"Restrict use of certain websites, block downloads/attachments, block Javascript, restrict browser extensions, etc."
APT29,Malicious Link,Network Intrusion Prevention,Use intrusion detection signatures to block traffic at network boundaries.
APT29,Malicious Link,User Training,"Train users to be aware of access or manipulation attempts by an adversary to reduce the risk of successful spearphishing, social engineering, and other techniques that involve user interaction."
APT29,Additional Email Delegate Permissions,Multi-factor Authentication,Use two or more pieces of evidence to authenticate to a system; such as username and password in addition to a token from a physical smart card or token generator.
APT29,Additional Email Delegate Permissions,Privileged Account Management,"Manage the creation, modification, use, and permissions associated to privileged accounts, including SYSTEM and root."
APT29,Additional Email Delegate Permissions,Disable or Remove Feature or Program,Remove or deny access to unnecessary and potentially vulnerable software to prevent abuse by adversaries.
APT29,Accessibility Features,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking."
APT29,Accessibility Features,Limit Access to Resource Over Network,"Prevent access to file shares, remote access to systems, unnecessary services. Mechanisms to limit access may include use of network concentrators, RDP gateways, etc."
APT29,Accessibility Features,Operating System Configuration,Make configuration changes related to the operating system or a common feature of the operating system that result in system hardening against techniques.
APT29,Rundll32,Exploit Protection,Use capabilities to detect and block conditions that may lead to or be indicative of a software exploit occurring.
APT29,Compromise Software Supply Chain,Vulnerability Scanning,Vulnerability scanning is used to find potentially exploitable software vulnerabilities to remediate them.
APT29,Compromise Software Supply Chain,Update Software,Perform regular software updates to mitigate exploitation risk.
APT29,Windows Remote Management,Network Segmentation,"Architect sections of the network to isolate critical systems, functions, or resources. Use physical and logical segmentation to prevent access to potentially sensitive systems and information. Use a DMZ to contain any internet-facing services that should not be exposed from the internal network. Configure separate virtual private cloud (VPC) instances to isolate critical cloud systems."
APT29,Windows Remote Management,Disable or Remove Feature or Program,Remove or deny access to unnecessary and potentially vulnerable software to prevent abuse by adversaries.
APT29,Windows Remote Management,Privileged Account Management,"Manage the creation, modification, use, and permissions associated to privileged accounts, including SYSTEM and root."
APT29,Steal or Forge Authentication Certificates,Encrypt Sensitive Information,Protect sensitive information with strong encryption.
APT29,Steal or Forge Authentication Certificates,Active Directory Configuration,"Configure Active Directory to prevent use of certain techniques; use SID Filtering, etc."
APT29,Steal or Forge Authentication Certificates,Audit,"Perform audits or scans of systems, permissions, insecure software, insecure configurations, etc. to identify potential weaknesses."
APT29,Steal or Forge Authentication Certificates,Disable or Remove Feature or Program,Remove or deny access to unnecessary and potentially vulnerable software to prevent abuse by adversaries.
APT29,Permission Groups Discovery,Permission Groups Discovery Mitigation,"Identify unnecessary system utilities or potentially malicious software that may be used to acquire information about groups and permissions, and audit and/or block them by using whitelisting (Citation: Beechey 2010) tools, like AppLocker, (Citation: Windows Commands JPCERT) (Citation: NSA MS AppLocker) or Software Restriction Policies (Citation: Corio 2008) where appropriate. (Citation: TechNet Applocker vs SRP)"
APT29,Password Spraying,Multi-factor Authentication,Use two or more pieces of evidence to authenticate to a system; such as username and password in addition to a token from a physical smart card or token generator.
APT29,Password Spraying,Account Use Policies,"Configure features related to account use like login attempt lockouts, specific login times, etc."
APT29,Password Spraying,Password Policies,Set and enforce secure password policies for accounts.
APT29,Spearphishing via Service,User Training,"Train users to be aware of access or manipulation attempts by an adversary to reduce the risk of successful spearphishing, social engineering, and other techniques that involve user interaction."
APT29,Spearphishing via Service,Restrict Web-Based Content,"Restrict use of certain websites, block downloads/attachments, block Javascript, restrict browser extensions, etc."
APT29,Spearphishing via Service,Antivirus/Antimalware,Use signatures or heuristics to detect malicious software.
APT29,Masquerading,Masquerading Mitigation,"When creating security rules, avoid exclusions based on file name or file path. Require signed binaries. Use file system access controls to protect folders such as C:\Windows\System32. Use tools that restrict program execution via whitelisting by attributes other than file name.

Identify potentially malicious software that may look like a legitimate program based on name and location, and audit and/or block it by using whitelisting (Citation: Beechey 2010) tools like AppLocker (Citation: Windows Commands JPCERT) (Citation: NSA MS AppLocker) or Software Restriction Policies (Citation: Corio 2008) where appropriate. (Citation: TechNet Applocker vs SRP)"
APT29,Masquerading,Restrict File and Directory Permissions,Restrict access by setting directory and file permissions that are not specific to users or privileged accounts.
APT29,Masquerading,Code Signing,Enforce binary and application integrity with digital signature verification to prevent untrusted code from executing.
APT29,Masquerading,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking."
APT29,Code Repositories,User Training,"Train users to be aware of access or manipulation attempts by an adversary to reduce the risk of successful spearphishing, social engineering, and other techniques that involve user interaction."
APT29,Code Repositories,User Account Management,"Manage the creation, modification, use, and permissions associated to user accounts."
APT29,Code Repositories,Audit,"Perform audits or scans of systems, permissions, insecure software, insecure configurations, etc. to identify potential weaknesses."
APT29,Code Repositories,Multi-factor Authentication,Use two or more pieces of evidence to authenticate to a system; such as username and password in addition to a token from a physical smart card or token generator.
APT29,Mshta,Disable or Remove Feature or Program,Remove or deny access to unnecessary and potentially vulnerable software to prevent abuse by adversaries.
APT29,Mshta,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking."
APT29,Additional Cloud Credentials,Multi-factor Authentication,Use two or more pieces of evidence to authenticate to a system; such as username and password in addition to a token from a physical smart card or token generator.
APT29,Additional Cloud Credentials,User Account Management,"Manage the creation, modification, use, and permissions associated to user accounts."
APT29,Additional Cloud Credentials,Privileged Account Management,"Manage the creation, modification, use, and permissions associated to privileged accounts, including SYSTEM and root."
APT29,Additional Cloud Credentials,Network Segmentation,"Architect sections of the network to isolate critical systems, functions, or resources. Use physical and logical segmentation to prevent access to potentially sensitive systems and information. Use a DMZ to contain any internet-facing services that should not be exposed from the internal network. Configure separate virtual private cloud (VPC) instances to isolate critical cloud systems."
APT29,Valid Accounts,Password Policies,Set and enforce secure password policies for accounts.
APT29,Valid Accounts,User Account Management,"Manage the creation, modification, use, and permissions associated to user accounts."
APT29,Valid Accounts,Privileged Account Management,"Manage the creation, modification, use, and permissions associated to privileged accounts, including SYSTEM and root."
APT29,Valid Accounts,User Training,"Train users to be aware of access or manipulation attempts by an adversary to reduce the risk of successful spearphishing, social engineering, and other techniques that involve user interaction."
APT29,Valid Accounts,Application Developer Guidance,This mitigation describes any guidance or training given to developers of applications to avoid introducing security weaknesses that an adversary may be able to take advantage of.
APT29,Valid Accounts,Valid Accounts Mitigation,"Take measures to detect or prevent techniques such as [OS Credential Dumping](https://attack.mitre.org/techniques/T1003) or installation of keyloggers to acquire credentials through [Input Capture](https://attack.mitre.org/techniques/T1056). Limit credential overlap across systems to prevent access if account credentials are obtained. Ensure that local administrator accounts have complex, unique passwords across all systems on the network. Do not put user or admin domain accounts in the local administrator groups across systems unless they are tightly controlled and use of accounts is segmented, as this is often equivalent to having a local administrator account with the same password on all systems. 

Follow best practices for design and administration of an enterprise network to limit privileged account use across administrative tiers. (Citation: Microsoft Securing Privileged Access) 

Audit domain and local accounts as well as their permission levels routinely to look for situations that could allow an adversary to gain wide access by obtaining credentials of a privileged account. (Citation: TechNet Credential Theft) (Citation: TechNet Least Privilege) These audits should also include if default accounts have been enabled, or if new local accounts are created that have not be authorized. 

Applications and appliances that utilize default username and password should be changed immediately after the installation, and before deployment to a production environment. (Citation: US-CERT Alert TA13-175A Risks of Default Passwords on the Internet) When possible, applications that use SSH keys should be updated periodically and properly secured. "
APT29,Multi-Factor Authentication Request Generation,Multi-factor Authentication,Use two or more pieces of evidence to authenticate to a system; such as username and password in addition to a token from a physical smart card or token generator.
APT29,Multi-Factor Authentication Request Generation,User Training,"Train users to be aware of access or manipulation attempts by an adversary to reduce the risk of successful spearphishing, social engineering, and other techniques that involve user interaction."
APT29,Multi-Factor Authentication Request Generation,Account Use Policies,"Configure features related to account use like login attempt lockouts, specific login times, etc."
APT29,Domains,Pre-compromise,"This category is used for any applicable mitigation activities that apply to techniques occurring before an adversary gains Initial Access, such as Reconnaissance and Resource Development techniques."
APT29,Exploitation for Privilege Escalation,Application Isolation and Sandboxing,Restrict execution of code to a virtual environment on or in transit to an endpoint system.
APT29,Exploitation for Privilege Escalation,Exploitation for Privilege Escalation Mitigation,"Update software regularly by employing patch management for internal enterprise endpoints and servers. Develop a robust cyber threat intelligence capability to determine what types and levels of threat may use software exploits and 0-days against a particular organization. Make it difficult for adversaries to advance their operation through exploitation of undiscovered or unpatched vulnerabilities by using sandboxing, if available. Other types of virtualization and application microsegmentation may also mitigate the impact of some types of client-side exploitation. The risks of additional exploits and weaknesses in implementation may still exist. (Citation: Ars Technica Pwn2Own 2017 VM Escape)

Security applications that look for behavior used during exploitation such as Windows Defender Exploit Guard (WDEG) and the Enhanced Mitigation Experience Toolkit (EMET) can be used to mitigate some exploitation behavior. (Citation: TechNet Moving Beyond EMET) Control flow integrity checking is another way to potentially identify and stop a software exploit from occurring. (Citation: Wikipedia Control Flow Integrity) Many of these protections depend on the architecture and target application binary for compatibility and may not work for software components targeted for privilege escalation."
APT29,Exploitation for Privilege Escalation,Threat Intelligence Program,A threat intelligence program helps an organization generate their own threat intelligence information and track trends to inform defensive priorities to mitigate risk.
APT29,Exploitation for Privilege Escalation,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking."
APT29,Exploitation for Privilege Escalation,Update Software,Perform regular software updates to mitigate exploitation risk.
APT29,Exploitation for Privilege Escalation,Exploit Protection,Use capabilities to detect and block conditions that may lead to or be indicative of a software exploit occurring.
APT29,Non-Application Layer Protocol,Filter Network Traffic,Use network appliances to filter ingress or egress traffic and perform protocol-based filtering. Configure software on endpoints to filter network traffic.
